ID#	1
Name	Methane
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
46	AGH15aug19_29.gcd	8/16/2019 5:44:46 AM	108	Unknown	0	6.055	2834	4.487	-----	-----	-----	-----
47	AGH15aug19_30.gcd	8/16/2019 6:15:22 AM	040	Unknown	0	6.057	1977	2.534	-----	-----	-----	-----
48	AGH15aug19_31.gcd	8/16/2019 6:46:01 AM	018	Unknown	0	6.054	3027	4.925	-----	-----	-----	-----
49	AGH15aug19_32.gcd	8/16/2019 7:16:37 AM	155	Unknown	0	6.055	1612	1.705	-----	-----	-----	-----
50	AGH15aug19_33.gcd	8/16/2019 7:47:13 AM	041	Unknown	0	6.055	2405	3.510	-----	-----	-----	-----
51	AGH15aug19_34.gcd	8/16/2019 8:17:50 AM	173	Unknown	0	6.022	653292	1415.267	-----	-----	-----	-----
52	AGH15aug19_35.gcd	8/16/2019 8:48:25 AM	093	Unknown	0	6.023	443707	975.064	-----	-----	-----	-----
53	AGH15aug19_36.gcd	8/16/2019 9:18:59 AM	159	Unknown	0	6.027	60553	135.305	-----	-----	-----	-----
54	AGH15aug19_37.gcd	8/16/2019 9:49:38 AM	178	Unknown	0	6.060	2455	3.624	-----	-----	-----	-----
55	AGH15aug19_38.gcd	8/16/2019 10:20:19 AM	197	Unknown	0	6.055	3558	6.135	-----	-----	-----	-----
56	AGH15aug19_39.gcd	8/16/2019 10:50:56 AM	107	Unknown	0	6.053	3824	6.741	-----	-----	-----	-----
57	AGH15aug19_40.gcd	8/16/2019 11:21:34 AM	110	Unknown	0	6.027	55730	124.418	-----	-----	-----	-----
58	AGH15aug19_41.gcd	8/16/2019 11:52:15 AM	134	Unknown	0	6.037	53463	119.298	-----	-----	-----	-----
59	AGH15aug19_42.gcd	8/16/2019 12:22:52 PM	157	Unknown	0	6.038	49491	110.325	-----	-----	-----	-----
