ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
29	RPM30AUG19_12.gcd	8/30/2019 2:06:14 PM	197	Unknown	0	5.990	5368	1399.257	-----	-----	-----	-----
30	RPM30AUG19_13.gcd	8/30/2019 2:36:49 PM	109	Unknown	0	5.692	1209608	283294.342	-----	-----	-----	-----
31	RPM30AUG19_14.gcd	8/30/2019 3:07:28 PM	152	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	RPM30AUG19_15.gcd	8/30/2019 3:38:05 PM	066	Unknown	0	5.543	2083429	487843.016	-----	-----	-----	-----
33	RPM30AUG19_16.gcd	8/30/2019 4:08:41 PM	155	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	RPM30AUG19_17.gcd	8/30/2019 4:39:19 PM	141	Unknown	0	5.599	1752436	410362.367	-----	-----	-----	-----
35	RPM30AUG19_18.gcd	8/30/2019 6:30:10 PM	175	Unknown	0	5.994	4637	1228.064	-----	-----	-----	-----
36	RPM30AUG19_19.gcd	8/30/2019 7:00:46 PM	160	Unknown	0	5.972	43723	10377.560	-----	-----	-----	-----
37	RPM30AUG19_20.gcd	8/30/2019 7:31:25 PM	114	Unknown	0	5.572	1908387	446868.290	-----	-----	-----	-----
38	RPM30AUG19_21.gcd	8/30/2019 8:02:03 PM	022	Unknown	0	5.971	41073	9757.287	-----	-----	-----	-----
39	RPM30AUG19_22.gcd	8/30/2019 8:32:39 PM	093	Unknown	0	-----	-----	-----	-----	-----	-----	-----
40	RPM30AUG19_23.gcd	8/30/2019 9:03:12 PM	147	Unknown	0	5.527	2237275	523856.104	-----	-----	-----	-----
41	RPM30AUG19_24.gcd	8/30/2019 9:33:48 PM	028	Unknown	0	5.979	11176	2758.780	-----	-----	-----	-----
42	RPM30AUG19_25.gcd	8/30/2019 10:04:22 PM	203	Unknown	0	5.746	927675	217297.875	-----	-----	-----	-----
43	RPM30AUG19_26.gcd	8/30/2019 10:34:57 PM	033	Unknown	0	-----	-----	-----	-----	-----	-----	-----
	Average					5.836	673098	157705.023			98.8	165.645
	%RSD					3.313803	133.773294	133.652311			6.721920	81.399913
	Maximum					5.994	2237275	523856.104			107.0	331.289
	Minimum					5.527	3439	947.547			90.7	11.053
	Std. Dev.					0.193383	900425.042071	210776.406529			6.642060	134.834479

ID#	3
Name	CO2
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	12.195	1977	400.216	400	*	100.1	0.216
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	12.141	1815	372.268	400	*	93.1	-27.732
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	12.148	1922	390.715	400	*	97.7	-9.285
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	12.161	1963	397.702	401	*	99.2	-3.298
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	12.142	1689	350.572	401	*	87.4	-50.428
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	12.170	1703	352.868	402	*	87.8	-49.132
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	12.157	2010	405.813	405	*	100.2	0.813
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	12.166	2082	418.323	411	*	101.8	7.323
