Reservoir,Site,Date,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
SHR,50,2014-05-30,8,2.9,NA,0,2
SHR,50,2014-05-30,25,1.2,NA,0,2
SHR,50,2014-06-12,0.1,1.2,NA,0,2
SHR,50,2014-06-12,8,2.9,NA,0,2
SHR,50,2014-06-12,28,1.7,NA,0,2
SHR,50,2014-07-10,0.1,1.7,NA,0,2
SHR,50,2014-07-10,7,1.7,NA,0,2
SHR,50,2014-07-10,28,0.6,NA,0,2
SHR,50,2014-07-24,0.1,1.7,NA,0,2
SHR,50,2014-07-24,7,1.2,NA,0,2
SHR,50,2014-07-24,28,1.7,NA,0,2
SHR,50,2014-08-07,0.1,1.2,NA,0,2
SHR,50,2014-08-07,7,1.7,NA,0,2
SHR,50,2014-08-07,28,0.6,NA,0,2
SHR,50,2014-09-05,0.1,1.2,NA,0,2
SHR,50,2014-09-05,7,1.7,NA,0,2
SHR,50,2014-09-05,28,0,NA,0,2
SHR,50,2014-10-03,0.1,2.9,NA,0,2
SHR,50,2014-10-03,8,5.2,NA,0,2
SHR,50,2014-10-03,28,0.6,NA,0,2
SHR,50,2014-10-24,0.1,2.3,NA,0,2
SHR,50,2014-10-24,7,2.9,NA,0,2
SHR,50,2014-10-24,28,0,NA,0,2
SML,50,2014-05-06,0.1,35.7,NA,0,2
SML,50,2014-05-06,8,8.1,NA,0,2
SML,50,2014-05-06,30,2.3,NA,0,2
SML,50,2014-06-03,0.1,8.6,NA,0,2
SML,50,2014-06-03,0.1,10.4,NA,0,2
SML,50,2014-06-03,8,13.8,NA,0,2
SML,50,2014-06-03,8,6.3,NA,0,2
SML,50,2014-06-03,25,1.2,NA,0,2
SML,50,2014-06-10,0.1,2.9,NA,0,2
SML,50,2014-06-10,8,9.2,NA,0,2
SML,50,2014-06-24,0.1,2.9,NA,0,2
SML,50,2014-06-24,7,2.9,NA,0,2
SML,50,2014-06-24,25,2.3,NA,0,2
SML,50,2014-07-08,0.1,4.6,NA,0,2
SML,50,2014-07-08,7,5.2,NA,0,2
SML,50,2014-07-08,25,1.7,NA,0,2
SML,50,2014-07-22,0.1,5.2,NA,0,2
SML,50,2014-07-22,7,4,NA,0,2
SML,50,2014-07-22,25,3.5,NA,0,2
SML,50,2014-08-05,0.1,4.6,NA,0,2
SML,50,2014-08-05,6,4.6,NA,0,2
SML,50,2014-08-05,28,0.6,NA,0,2
SML,50,2014-08-19,0.1,7.5,NA,0,2
SML,50,2014-08-19,7,2.3,NA,0,2
SML,50,2014-08-19,25,1.2,NA,0,2
SML,50,2014-09-23,0.1,13.2,NA,0,2
SML,50,2014-09-23,8,5.1,NA,0,2
SML,50,2014-09-23,28,1.2,NA,0,2
BVR,50,2015-08-13,0.1,2.9,1.7,0,0
BVR,50,2015-08-13,3,4.6,2,0,0
BVR,50,2015-08-13,6,25.9,13.9,0,0
BVR,50,2015-08-13,9,26.5,2.5,0,0
BVR,50,2015-08-13,12,51.9,2.1,0,4
BVR,50,2015-08-20,0.1,7.5,5.4,0,0
BVR,50,2015-08-20,3,8.6,3,0,0
BVR,50,2015-08-20,6,34,15.8,0,0
BVR,50,2015-08-20,9,38.4,5.8,0,0
BVR,50,2015-08-20,12,54.8,32.4,0,0
BVR,50,2015-09-04,0.1,6.9,1,0,0
BVR,50,2015-09-04,3,5.2,1,0,0
BVR,50,2015-09-04,6,6.3,4.4,0,0
BVR,50,2015-09-04,9,28.8,2.1,0,4
BVR,50,2015-09-04,12,26.9,6.3,0,0
BVR,50,2015-09-18,0.1,2.3,2.3,0,0
BVR,50,2015-09-18,3,4,1.8,0,0
BVR,50,2015-09-18,6,6.3,5.7,0,0
BVR,50,2015-09-18,9,25,5.5,0,0
BVR,50,2015-09-18,12,32.7,3.3,0,0
BVR,50,2015-10-02,0.1,4.6,12.4,0,0
BVR,50,2015-10-02,3,10.6,1.2,0,0
BVR,50,2015-10-02,6,2.9,-0.8,0,4
BVR,50,2015-10-02,9,13,2.6,0,0
BVR,50,2015-10-02,12,11.5,-1.2,0,4
BVR,50,2015-10-23,0.1,3.5,-1,0,4
BVR,50,2015-10-23,3,2.3,-0.6,0,4
BVR,50,2015-10-23,6,5.2,-1,0,4
BVR,50,2015-10-23,9,19.2,-1.2,0,4
BVR,50,2015-10-23,12,34.6,-1.4,0,4
CCR,50,2015-05-08,0.1,3.5,-0.1,0,4
CCR,50,2015-05-08,6,1.7,2,0,0
CCR,50,2015-05-08,21,1.7,-0.1,0,4
CCR,50,2015-05-22,0.1,1.2,1.3,0,0
CCR,50,2015-05-22,6,2.3,1.4,0,0
CCR,50,2015-05-22,21,4,5.5,0,0
CCR,50,2015-05-29,0.1,1.2,-0.3,0,4
CCR,50,2015-05-29,6,1.7,0.3,0,4
CCR,50,2015-05-29,21,1.7,2.4,0,0
CCR,50,2015-06-12,0.1,0,0.4,4,4
CCR,50,2015-06-12,6,1.7,1.6,0,0
CCR,50,2015-06-26,0.1,0.6,1.1,4,0
CCR,50,2015-06-26,6,2.9,2.1,0,0
CCR,50,2015-06-26,21,3.8,6.5,0,0
CCR,50,2015-07-10,0.1,1.2,-0.3,0,4
CCR,50,2015-07-10,6,4,0.9,0,0
CCR,50,2015-07-10,20,1.7,4.5,0,0
CCR,50,2015-07-24,0.1,1.7,0.3,0,4
CCR,50,2015-07-24,6,1.7,1.2,0,0
CCR,50,2015-07-24,20,1.9,0.8,0,4
CCR,50,2015-08-07,0.1,1.2,-0.3,0,4
CCR,50,2015-08-07,6,1.7,-0.9,0,4
CCR,50,2015-08-07,20,1.9,0.8,0,4
CCR,50,2015-08-26,0.1,0.6,1.1,4,0
CCR,50,2015-08-26,6,1.2,1.3,0,0
CCR,50,2015-08-26,20,1,2.5,4,0
CCR,50,2015-09-09,0.1,1.2,0.1,0,4
CCR,50,2015-09-09,6,1.2,0.9,0,0
CCR,50,2015-09-09,19,2.9,2,0,0
CCR,50,2015-09-23,0.1,1.7,-0.1,0,4
CCR,50,2015-09-23,6,2.9,0.4,0,4
CCR,50,2015-09-23,19,1,0.4,4,4
CCR,50,2015-10-28,0.1,6.3,-0.5,0,4
CCR,50,2015-10-28,6,5.8,0.9,0,0
CCR,50,2015-10-28,20,0,-2.1,4,4
FCR,50,2015-08-03,1.6,4.8,3.5,0,0
FCR,50,2015-08-03,3.8,42.3,36.6,0,0
FCR,50,2015-08-03,5,71.1,23,0,0
FCR,50,2015-08-03,6.2,17.3,7.6,0,0
FCR,50,2015-08-03,9,9.6,1.5,0,4
FCR,50,2015-08-10,1.6,9.2,-1.8,0,4
FCR,50,2015-08-10,3.8,51.9,22.8,0,0
FCR,50,2015-08-10,5,70.6,15.5,0,0
FCR,50,2015-08-10,6.2,15.9,8,0,0
FCR,50,2015-08-10,9,3.8,0.3,0,4
FCR,50,2015-08-17,1.6,10.4,2.9,0,0
FCR,50,2015-08-17,3.8,26.5,20,0,0
FCR,50,2015-08-17,5,33.6,16.9,0,0
FCR,50,2015-08-17,6.2,24,11.3,0,0
FCR,50,2015-08-17,9,3.5,2.4,0,0
FCR,50,2015-08-24,1.6,15.4,2.6,0,0
FCR,50,2015-08-24,3.8,27.4,30.7,0,0
FCR,50,2015-08-24,5,69.2,15.2,0,0
FCR,50,2015-08-24,6.2,17.3,8.6,0,0
FCR,50,2015-08-24,9,2.9,2.5,0,0
FCR,50,2015-09-07,1.6,15.4,2.6,0,0
FCR,50,2015-09-07,3.8,32.7,10.2,0,0
FCR,50,2015-09-07,5,28.8,4.4,0,0
FCR,50,2015-09-07,6.2,40.3,16.4,0,0
FCR,50,2015-09-07,9,8.6,3.8,0,0
FCR,50,2015-09-14,1.6,14.4,8.4,0,0
FCR,50,2015-09-14,3.8,13.4,-1,0,4
FCR,50,2015-09-14,5,28.8,12.7,0,0
FCR,50,2015-09-14,6.2,20.2,6.8,0,0
FCR,50,2015-09-14,9,5.1,1.3,0,4
FCR,50,2015-09-21,1.6,6.7,3,0,0
FCR,50,2015-09-21,3.8,6.7,1.6,0,0
FCR,50,2015-09-21,5,57.6,15,0,0
FCR,50,2015-09-21,6.2,23.1,7,0,0
FCR,50,2015-09-21,9,13,11.9,0,0
FCR,50,2015-09-28,1.6,11.5,3.7,0,0
FCR,50,2015-09-28,3.8,0,20.1,4,0
FCR,50,2015-09-28,5,8.1,5.2,0,0
FCR,50,2015-09-28,6.2,11.5,3,0,4
FCR,50,2015-09-28,9,8.6,1.7,0,0
FCR,50,2015-10-05,1.6,7.7,6.1,0,0
FCR,50,2015-10-05,3.8,3.5,3.6,0,0
FCR,50,2015-10-05,5,6.7,3.7,0,0
FCR,50,2015-10-05,6.2,5.8,5.3,0,0
FCR,50,2015-10-05,9,3.5,4,0,0
FCR,50,2015-10-19,1.6,2.3,-2.3,0,4
FCR,50,2015-10-19,3.8,2.9,-0.8,0,4
FCR,50,2015-10-19,5,2.9,-0.4,0,4
FCR,50,2015-10-19,6.2,1.7,-0.5,0,4
FCR,50,2015-10-19,9,1.7,-0.1,0,4
FCR,50,2015-11-09,1.6,4.9,0.4,0,4
FCR,50,2015-11-09,3.8,4.3,-0.2,0,4
FCR,50,2015-11-09,5,10.1,-1.8,0,4
FCR,50,2015-11-09,6.2,2.9,-1.6,0,4
FCR,50,2015-11-09,9,3.5,-1.4,0,4
GWR,50,2014-05-20,9,0.6,1.5,4,0
GWR,50,2015-05-09,0.1,1.2,2.2,0,0
GWR,50,2015-05-09,5,5.2,1.9,0,0
GWR,50,2015-05-09,14,0.6,1.5,4,0
GWR,50,2015-05-20,5,10.4,6.6,0,0
GWR,50,2015-05-20,13,0.6,0.3,4,4
GWR,50,2015-05-30,0.1,4.6,2,0,0
GWR,50,2015-05-30,5,8.1,5.6,0,0
GWR,50,2015-05-30,9,1.7,0.8,0,0
GWR,50,2015-05-30,13,0.6,1.5,4,0
GWR,50,2015-06-10,0.1,2.3,0.6,0,4
GWR,50,2015-06-10,5,2.3,4.7,0,0
GWR,50,2015-06-10,9,1.2,1.3,0,0
GWR,50,2015-06-10,14,1.7,-0.1,0,4
GWR,50,2015-06-22,0.1,1.2,0.1,0,4
GWR,50,2015-06-22,5,8.1,4,0,0
GWR,50,2015-06-22,9,1.7,1.2,0,0
GWR,50,2015-06-22,14,1.9,0.2,0,4
GWR,50,2015-07-05,5,12.1,9.1,0,0
GWR,50,2015-07-06,0.1,3.5,1.9,0,0
GWR,50,2015-07-06,9,1.2,2.6,0,0
GWR,50,2015-07-06,14,2.9,2,0,0
GWR,50,2015-07-20,0.1,2.3,0.6,0,4
GWR,50,2015-07-20,5,5.8,3.4,0,0
GWR,50,2015-07-20,9,2.3,1.8,0,0
GWR,50,2015-07-20,14,0.6,1.5,4,0
GWR,50,2015-07-26,0.1,1.7,2,0,0
GWR,50,2015-08-03,0.1,1.7,2,0,0
GWR,50,2015-08-03,6,4.6,6.6,0,0
GWR,50,2015-08-03,9,2.9,0.7,0,4
GWR,50,2015-08-03,13,1,1.8,4,0
GWR,50,2015-08-15,0.1,2.3,1,0,0
GWR,50,2015-08-15,5,4,0.9,0,0
GWR,50,2015-08-15,9,9.6,4.2,0,0
GWR,50,2015-08-15,13.5,4.3,0.9,0,4
GWR,50,2015-08-30,0.1,2.9,1.3,0,0
GWR,50,2015-08-30,5,2.9,2.9,0,0
GWR,50,2015-08-30,9,7.2,3.2,0,0
GWR,50,2015-08-30,12,10.1,2.4,0,0
GWR,50,2015-09-17,0.1,3.5,-0.1,0,4
GWR,50,2015-09-17,8,11.5,6.5,0,0
GWR,50,2015-09-17,12,11.5,4,0,0
SHR,50,2015-05-08,0.1,0.6,-0.6,4,4
SHR,50,2015-05-08,8,1.2,-1.2,0,4
SHR,50,2015-05-08,28,1.2,-1.2,0,4
SHR,50,2015-05-22,0.1,1.2,0.1,0,4
SHR,50,2015-05-22,8,1.2,0.5,0,4
SHR,50,2015-05-22,28,1.2,-1.2,0,4
SHR,50,2015-05-29,0.1,1.2,0.1,0,4
SHR,50,2015-05-29,8,2.3,-0.2,0,4
SHR,50,2015-05-29,31,0.6,0.3,4,4
SHR,50,2015-06-12,0.1,1.2,0.1,0,4
SHR,50,2015-06-12,8,3.5,0.3,0,4
SHR,50,2015-06-12,31,1.2,0.5,0,4
SHR,50,2015-06-26,0.1,0.6,0.7,4,4
SHR,50,2015-06-26,8,2.3,1.4,0,0
