Reservoir,Site,Date,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
BVR,50,2018-05-17,3,3.9,0.9,0,0
BVR,50,2018-06-28,6,24.9,4.8,0,0
BVR,50,2018-05-24,3,4,1.7,0,0
CCR,50,2018-06-13,6,5.2,2.4,0,0
FCR,50,2018-06-11,3.8,3.7,1.8,0,0
CCR,50,2018-05-30,0.1,2.8,1.1,0,0
BVR,50,2018-06-07,0.1,5.9,1.1,0,0
BVR,50,2018-06-07,6,8.4,2.5,0,0
BVR,50,2018-06-14,6,4.9,2.8,0,0
CCR,50,2018-06-27,6,4,2.2,0,0
BVR,50,2018-06-07,3,6,2,0,0
BVR,50,2018-05-17,3,3.9,1.6,0,0
CCR,50,2018-06-13,6,5.7,1.8,0,0
BVR,50,2018-06-21,6,8.4,2.6,0,0
FCR,50,2018-06-04,0.1,2.2,1.6,0,0
CCR,50,2018-06-13,12,2.6,1.1,0,0
FCR,50,2018-06-04,3.8,3.5,2.9,0,0
CCR,50,2018-05-30,12,3.2,1.4,0,0
FCR,50,2018-06-18,5,5.2,2.5,0,0
FCR,50,2018-06-11,5,5.7,2.7,0,0
BVR,50,2018-06-07,6,8.9,2.3,0,0
CCR,50,2018-05-30,6,5.2,1.2,0,0
CCR,50,2018-06-13,0.1,1.3,0.6,0,0
CCR,50,2018-05-30,6,4.7,1.6,0,0
BVR,50,2018-05-31,6,2.2,1.9,0,0
FCR,50,2018-07-02,1.6,5.9,3.3,0,0
FCR,50,2018-07-02,3.8,5,3.9,0,0
BVR,50,2018-07-05,0.1,23.2,3.2,0,0
FCR,50,2018-07-09,1.6,7.2,3,0,0
CCR,50,2018-07-11,6,5.2,3.9,0,0
BVR,50,2018-07-12,6,30.5,4.9,0,0
BVR,50,2018-07-19,3,17.9,4.5,0,0
BVR,50,2018-07-19,0.1,12.1,2.3,0,0
CCR,50,2018-07-25,6,4.5,2.7,0,0
BVR,50,2018-07-26,3,19,6.1,0,0
FCR,50,2018-07-30,3.8,7.2,5.1,0,0
BVR,50,2018-08-02,3,18.3,9.1,0,0
FCR,50,2018-08-06,1.6,9.1,3,0,0
CCR,50,2018-08-08,6,4.5,2.7,0,0
BVR,50,2018-08-09,0.1,13.8,4.6,0,0
FCR,50,2018-08-13,1,7.8,5.7,0,0
BVR,50,2018-08-16,6,53,8.4,0,0
BVR,50,2018-08-16,3,18.6,7.2,0,0
BVR,50,2018-08-16,0.1,16.7,4.9,0,0
FCR,50,2018-08-20,1.6,6.9,2.2,0,0
CCR,50,2018-08-22,6,6.2,3.4,0,0
CCR,50,2018-08-22,0.1,3.1,1.1,0,0
BVR,50,2018-08-23,6,35.2,5.5,0,0
BVR,50,2018-08-23,0.1,13.3,10,0,0
FCR,50,2018-08-27,0.1,7.3,2.4,0,0
FCR,50,2018-09-03,0.1,6.2,3.7,0,0
BVR,50,2018-09-07,0.1,9.3,3.6,0,0
FCR,50,2019-06-10,1.6,7.7,2.6,0,0
BVR,50,2019-07-03,0.1,1.3,0.3,0,0
BVR,50,2019-07-03,9,46.6,15.1,0,0
BVR,50,2019-06-06,0.1,1.3,0.6,0,0
BVR,50,2019-06-20,0.1,1.8,0.5,0,0
FCR,50,2019-04-15,1.6,4.3,2.2,0,0
FCR,50,2019-05-27,1.6,2.4,0.8,0,0
BVR,50,2019-05-23,0.1,0.7,0.1,0,0
BVR,50,2019-05-30,9,42.4,5.9,0,0
BVR,50,2019-06-20,9,35.5,8.6,0,0
BVR,50,2019-06-13,0.1,1.1,0.6,0,0
FCR,50,2019-07-01,1.6,10.9,2.5,0,0
FCR,50,2019-06-24,1.6,6.8,1.9,0,0
BVR,50,2019-04-08,0.1,1.2,0.4,0,0
FCR,50,2019-05-13,1.6,2.7,2.3,0,0
BVR,50,2019-06-06,9,37.5,4.3,0,0
FCR,50,2019-06-17,1.6,6.3,1.7,0,0
FCR,50,2019-05-20,1.6,2.2,1.3,0,0
FCR,50,2019-04-22,1.6,3.6,3,0,0
BVR,50,2019-06-13,9,56.2,10.6,0,0
FCR,50,2019-05-06,1.6,2,1.9,0,0
FCR,50,2019-04-29,1.6,1.5,1,0,0
FCR,50,2019-06-03,1.6,4.8,1.8,0,0
BVR,50,2019-05-16,0.1,1,0.5,0,0
FCR,50,2019-04-01,1.6,1.8,0.8,0,0
FCR,50,2019-04-01,5,3.2,1.2,0,0
FCR,50,2019-07-15,1.6,29.3,4.3,0,0
FCR,50,2019-04-22,5,4.3,2.4,0,0
FCR,50,2019-04-15,3.8,2.4,3.1,0,0
FCR,50,2019-05-27,3.8,5.4,2.3,0,0
FCR,50,2019-04-29,3.8,4.1,4.3,0,0
FCR,50,2019-05-06,5,4.9,4.5,0,0
FCR,50,2019-05-13,5,6.3,3.1,0,0
FCR,50,2019-04-01,3.8,0.8,0.1,4,4
FCR,50,2019-05-06,3.8,19,12.7,0,0
FCR,50,2019-04-15,5,1.7,2.7,0,0
FCR,50,2019-05-27,5,8.5,5.6,0,0
FCR,50,2019-07-08,1.6,10.4,1.8,0,0
FCR,50,2019-05-20,3.8,5.3,2.4,0,0
FCR,50,2019-04-29,5,4.4,4.4,0,0
FCR,50,2019-07-29,1.6,19.3,1.4,0,0
FCR,50,2019-08-12,1.6,33.9,1.7,0,0
FCR,50,2019-08-05,1.6,28.8,2.2,0,0
FCR,50,2019-07-22,1.6,15.5,1.7,0,0
BVR,1,2019-04-29,0.1,2,NA,0,2
BVR,100,2019-04-29,0.1,0.3,NA,0,2
BVR,20,2019-04-29,0.1,1.7,NA,0,2
BVR,200,2019-04-29,0.1,1.3,NA,0,2
BVR,30,2019-04-29,0.1,1.8,NA,0,2
BVR,45,2019-04-29,0.1,2.7,NA,0,2
BVR,50,2019-04-29,0.1,2.7,NA,0,2
FCR,1,2019-04-29,0.1,1.3,NA,0,2
FCR,100,2019-04-29,0.1,1.1,NA,0,2
FCR,101,2019-04-29,0.1,1.5,NA,0,2
FCR,102,2019-04-29,0.1,2,NA,0,2
FCR,20,2019-04-29,0.1,1.8,NA,0,2
FCR,200,2019-04-29,0.1,0.7,NA,0,2
FCR,30,2019-04-29,0.1,2,NA,0,2
FCR,45,2019-04-29,0.1,2,NA,0,2
FCR,50,2019-04-29,0.1,1.8,NA,0,2
FCR,99,2019-04-29,0.1,0.7,NA,0,2
BVR,1,2019-05-30,0.1,1,NA,0,2
BVR,100,2019-05-30,0.1,0.5,NA,0,2
BVR,20,2019-05-30,0.1,1.5,NA,0,2
BVR,200,2019-05-30,0.1,1.7,NA,0,2
BVR,30,2019-05-30,0.1,1.7,NA,0,2
BVR,45,2019-05-30,0.1,1,NA,0,2
BVR,50,2019-05-30,0.1,1.4,NA,0,2
FCR,1,2019-05-30,0.1,0.9,NA,0,2
FCR,100,2019-05-30,0.1,0.5,NA,0,2
FCR,101,2019-05-30,0.1,0.5,NA,0,2
FCR,102,2019-05-30,0.1,0.9,NA,0,2
FCR,20,2019-05-30,0.1,4.8,NA,0,2
FCR,200,2019-05-30,0.1,0.7,NA,0,2
FCR,30,2019-05-30,0.1,4.6,NA,0,2
FCR,45,2019-05-30,0.1,4.6,NA,0,2
FCR,50,2019-05-30,0.1,3.8,NA,0,2
FCR,99,2019-05-30,0.1,0.5,NA,0,2
BVR,1,2019-06-27,0.1,0.9,NA,0,2
BVR,100,2019-06-27,0.1,0.3,NA,0,2
BVR,20,2019-06-27,0.1,1.4,NA,0,2
BVR,200,2019-06-27,0.1,0.5,NA,0,2
BVR,30,2019-06-27,0.1,1.1,NA,0,2
BVR,45,2019-06-27,0.1,1.1,NA,0,2
BVR,50,2019-06-27,0.1,0.9,NA,0,2
FCR,1,2019-06-27,0.1,2.2,NA,0,2
FCR,100,2019-06-27,0.1,0.3,NA,0,2
FCR,101,2019-06-27,0.1,0.4,NA,0,2
FCR,102,2019-06-27,0.1,0.4,NA,0,2
FCR,20,2019-06-27,0.1,9.6,NA,0,2
FCR,200,2019-06-27,0.1,0.4,NA,0,2
FCR,30,2019-06-27,0.1,8.6,NA,0,2
FCR,45,2019-06-27,0.1,10.1,NA,0,2
FCR,50,2019-06-27,0.1,7.2,NA,0,2
FCR,99,2019-06-27,0.1,0.3,NA,0,2
BVR,1,2019-07-18,0.1,1.7,NA,0,2
BVR,100,2019-07-18,0.1,0.1,NA,1,2
BVR,20,2019-07-18,0.1,2.1,NA,0,2
BVR,200,2019-07-18,0.1,1.2,NA,0,2
BVR,30,2019-07-18,0.1,2.3,NA,0,2
BVR,45,2019-07-18,0.1,1.8,NA,0,2
BVR,50,2019-07-18,0.1,1.5,NA,0,2
FCR,1,2019-07-18,0.1,2,NA,0,2
FCR,100,2019-07-18,0.1,0.3,NA,0,2
FCR,101,2019-07-18,0.1,0.2,NA,1,2
FCR,20,2019-07-18,0.1,18.2,NA,0,2
FCR,200,2019-07-18,0.1,1.1,NA,0,2
FCR,30,2019-07-18,0.1,17.2,NA,0,2
FCR,45,2019-07-18,0.1,14.1,NA,0,2
FCR,50,2019-07-18,0.1,15.1,NA,0,2
FCR,99,2019-07-18,0.1,0.2,NA,1,2
FCR,102,2019-07-22,0.1,0.3,NA,0,2
BVR,1,2019-08-22,0.1,5.8,NA,0,2
BVR,100,2019-08-22,0.1,0.5,NA,0,2
BVR,20,2019-08-22,0.1,5.9,NA,0,2
BVR,200,2019-08-22,0.1,1.3,NA,0,2
BVR,30,2019-08-22,0.1,6.4,NA,0,2
BVR,45,2019-08-22,0.1,4.4,NA,0,2
BVR,50,2019-08-22,0.1,4.6,NA,0,2
FCR,1,2019-08-22,0.1,6.2,NA,0,2
FCR,100,2019-08-22,0.1,1,NA,0,2
FCR,101,2019-08-22,0.1,1.6,NA,0,2
FCR,102,2019-08-22,0.1,0.1,NA,1,2
FCR,20,2019-08-22,0.1,41.5,NA,0,2
FCR,200,2019-08-22,0.1,0.7,NA,0,2
FCR,30,2019-08-22,0.1,36.7,NA,0,2
FCR,45,2019-08-22,0.1,36.1,NA,0,2
FCR,50,2019-08-22,0.1,35.8,NA,0,2
FCR,99,2019-08-22,0.1,0.6,NA,0,2
BVR,1,2019-09-20,0.1,10,NA,0,2
BVR,1,2019-09-20,0.1,10.7,NA,0,2
BVR,20,2019-09-20,0.1,13.7,NA,0,2
BVR,20,2019-09-20,0.1,11.7,NA,0,2
BVR,30,2019-09-20,0.1,13.7,NA,0,2
BVR,30,2019-09-20,0.1,14.8,NA,0,2
BVR,45,2019-09-20,0.1,8.6,NA,0,2
BVR,45,2019-09-20,0.1,8.9,NA,0,2
BVR,50,2019-09-20,0.1,10.1,NA,0,2
BVR,50,2019-09-20,0.1,10.2,NA,0,2
FCR,20,2019-09-20,0.1,24.7,NA,0,2
FCR,20,2019-09-20,0.1,25.1,NA,0,2
FCR,30,2019-09-20,0.1,26.5,NA,0,2
FCR,45,2019-09-20,0.1,23.8,NA,0,2
FCR,45,2019-09-20,0.1,17.9,NA,0,2
FCR,50,2019-09-20,0.1,29.4,NA,0,2
FCR,50,2019-09-20,0.1,26,NA,0,2
BVR,1,2019-10-04,0.1,12.7,NA,0,2
BVR,100,2019-10-04,0.1,1.1,NA,0,2
BVR,20,2019-10-04,0.1,14.1,NA,0,2
BVR,200,2019-10-04,0.1,1.3,NA,0,2
BVR,30,2019-10-04,0.1,15.8,NA,0,2
BVR,45,2019-10-04,0.1,8.2,NA,0,2
BVR,50,2019-10-04,0.1,8.6,NA,0,2
FCR,1,2019-10-04,0.1,1.8,NA,0,2
FCR,100,2019-10-04,0.1,0.3,NA,0,2
FCR,101,2019-10-04,0.1,0.2,NA,0,2
FCR,102,2019-10-04,0.1,0.3,NA,0,2
FCR,20,2019-10-04,0.1,36.4,NA,0,2
FCR,200,2019-10-04,0.1,1.5,NA,0,2
FCR,30,2019-10-04,0.1,39.1,NA,0,2
FCR,45,2019-10-04,0.1,39.5,NA,0,2
FCR,50,2019-10-04,0.1,38.7,NA,0,2
FCR,99,2019-10-04,0.1,0.3,NA,0,2
BVR,50,2019-05-16,6,40.9,13.7,0,0
BVR,50,2019-05-23,6,2,1.8,0,0
FCR,50,2019-08-05,3.8,11.7,7,0,0
BVR,50,2019-06-13,6,27.1,-18.4,0,4
BVR,50,2019-04-29,6,23.3,5.9,0,0
FCR,50,2019-05-27,5,3.6,4,0,0
FCR,50,2019-06-17,3.8,5.5,3.3,0,0
FCR,50,2019-06-10,5,3.2,3.9,0,0
BVR,50,2019-06-27,6,2.3,2.4,0,0
BVR,50,2019-05-30,6,2.9,1.5,0,0
FCR,50,2019-06-24,0.1,6.7,1.9,0,0
FCR,50,2019-06-17,5,4,3.6,0,0
FCR,50,2019-06-03,0.1,4.1,2.1,0,0
FCR,50,2019-08-19,5,20.6,7.3,0,0
FCR,50,2019-06-10,3.8,4.2,3,0,0
FCR,50,2019-08-19,3.8,13.8,13.2,0,0
FCR,50,2019-05-27,0.1,1.6,1.2,0,0
FCR,50,2019-08-28,3.8,31.6,14.1,0,0
FCR,50,2019-08-19,0.1,26.8,6.4,0,0
FCR,50,2019-08-28,0.1,24.1,6.2,0,0
FCR,50,2019-08-19,1.6,27.5,5,0,0
