Reservoir,Site,DateTime,Depth_m,DRSI_mgL,Flag_DRSI,Date
CCR,50,2014-08-21T09:30:00Z,19,3.637648,0,2014-08-21
CCR,50,2014-09-05T09:30:00Z,0.1,0.97268,0,2014-09-05
CCR,50,2014-09-05T09:30:00Z,6,1.016368,0,2014-09-05
CCR,50,2014-09-05T09:30:00Z,19,4.380344,0,2014-09-05
CCR,50,2014-09-19T14:00:00Z,0.1,0.797928,0,2014-09-19
CCR,50,2014-09-19T14:00:00Z,6,0.841616,0,2014-09-19
CCR,50,2014-09-19T14:00:00Z,18,2.632824,0,2014-09-19
CCR,50,2014-10-03T15:30:00Z,0.1,1.19112,0,2014-10-03
CCR,50,2014-10-03T15:30:00Z,6,0.885304,0,2014-10-03
CCR,50,2014-10-03T15:30:00Z,19,5.428856,0,2014-10-03
CCR,50,2014-10-24T14:00:00Z,0.1,1.365872,0,2014-10-24
CCR,50,2014-10-24T14:00:00Z,6,1.365872,0,2014-10-24
CCR,50,2014-10-24T14:00:00Z,20,5.55992,0,2014-10-24
CLY,50,2014-04-28T12:00:00Z,0.1,6.439376,0,2014-04-28
CLY,50,2014-04-28T12:00:00Z,5,6.925396,0,2014-04-28
CLY,50,2014-06-18T10:00:00Z,0.1,6.822342,0,2014-06-18
CLY,50,2014-06-18T10:00:00Z,6,6.672084,0,2014-06-18
CLY,50,2014-06-18T10:00:00Z,30,7.47346,0,2014-06-18
CLY,50,2014-07-09T17:00:00Z,0.1,4.818902,0,2014-07-09
CLY,50,2014-07-09T17:00:00Z,7,4.618558,0,2014-07-09
CLY,50,2014-08-13T10:30:00Z,0.1,3.360716,0,2014-08-13
CLY,50,2014-08-13T10:30:00Z,7,3.317267,0,2014-08-13
CLY,50,2014-08-13T10:30:00Z,34,6.040488,0,2014-08-13
FCR,50,2014-04-21T12:00:00Z,0.1,8.006448,0,2014-04-21
FCR,50,2014-04-21T12:00:00Z,9,3.577961,0,2014-04-21
FCR,50,2014-04-23T12:00:00Z,9,11.529128,0,2014-04-23
FCR,50,2014-04-28T12:00:00Z,0.1,6.966983,0,2014-04-28
FCR,50,2014-04-28T12:00:00Z,9,5.385168,0,2014-04-28
FCR,50,2014-05-05T12:00:00Z,0.1,6.171224,0,2014-05-05
FCR,50,2014-05-05T12:00:00Z,5,4.4683,0,2014-05-05
FCR,50,2014-05-05T12:00:00Z,9,5.613142,0,2014-05-05
FCR,50,2014-05-12T12:00:00Z,0.1,3.516666,0,2014-05-12
FCR,50,2014-05-12T12:00:00Z,9,3.616838,0,2014-05-12
FCR,50,2014-05-19T12:00:00Z,0.1,11.105168,0,2014-05-19
FCR,50,2014-05-19T12:00:00Z,5,5.870708,0,2014-05-19
FCR,50,2014-05-19T12:00:00Z,9,3.183042,0,2014-05-19
FCR,50,2014-05-26T12:00:00Z,0.1,13.875482,0,2014-05-26
FCR,50,2014-05-26T12:00:00Z,5,4.067612,0,2014-05-26
FCR,50,2014-05-26T12:00:00Z,9,5.613142,0,2014-05-26
FCR,50,2014-06-02T12:00:00Z,0.1,5.019246,0,2014-06-02
FCR,50,2014-06-02T12:00:00Z,9,4.868988,0,2014-06-02
FCR,50,2014-06-09T12:00:00Z,0.1,6.9726,0,2014-06-09
FCR,50,2014-06-09T12:00:00Z,5,4.424032,0,2014-06-09
FCR,50,2014-06-09T12:00:00Z,9,4.017526,0,2014-06-09
FCR,50,2014-06-16T12:00:00Z,0.1,7.924234,0,2014-06-16
FCR,50,2014-06-16T12:00:00Z,9,3.767096,0,2014-06-16
FCR,50,2014-06-23T12:00:00Z,0.1,7.824062,0,2014-06-23
FCR,50,2014-06-23T12:00:00Z,9,5.169504,0,2014-06-23
FCR,50,2014-06-29T12:00:00Z,0.1,8.443328,0,2014-06-29
FCR,50,2014-06-29T12:00:00Z,5,12.418936,0,2014-06-29
FCR,50,2014-06-29T12:00:00Z,9,8.137512,0,2014-06-29
FCR,50,2014-06-30T12:00:00Z,0.1,9.92872,0,2014-06-30
FCR,50,2014-06-30T12:00:00Z,5,8.1812,0,2014-06-30
FCR,50,2014-06-30T12:00:00Z,9,5.865736,0,2014-06-30
FCR,50,2014-07-07T12:00:00Z,0.1,7.089,0,2014-07-07
FCR,50,2014-07-07T12:00:00Z,5,7.438504,0,2014-07-07
FCR,50,2014-07-07T12:00:00Z,9,9.885032,0,2014-07-07
FCR,50,2014-07-14T12:00:00Z,0.1,7.74432,0,2014-07-14
FCR,50,2014-07-14T12:00:00Z,5,7.220064,0,2014-07-14
FCR,50,2014-07-14T12:00:00Z,9,5.472544,0,2014-07-14
FCR,50,2014-07-21T12:00:00Z,0.1,8.61808,0,2014-07-21
FCR,50,2014-07-21T12:00:00Z,5,4.24928,0,2014-07-21
FCR,50,2014-07-21T12:00:00Z,9,4.991976,0,2014-07-21
FCR,50,2014-07-28T12:00:00Z,0.1,4.03084,0,2014-07-28
FCR,50,2014-07-28T12:00:00Z,5,1.977504,0,2014-07-28
FCR,50,2014-07-28T12:00:00Z,9,3.987152,0,2014-07-28
FCR,50,2014-08-04T12:00:00Z,0.1,4.511408,0,2014-08-04
FCR,50,2014-08-04T12:00:00Z,5,2.370696,0,2014-08-04
FCR,50,2014-08-04T12:00:00Z,9,6.957936,0,2014-08-04
FCR,50,2014-08-11T12:00:00Z,0.1,7.700632,0,2014-08-11
FCR,50,2014-08-11T12:00:00Z,5,3.59396,0,2014-08-11
FCR,50,2014-08-11T12:00:00Z,9,6.258928,0,2014-08-11
FCR,50,2014-08-18T12:00:00Z,0.1,7.045312,0,2014-08-18
FCR,50,2014-08-18T12:00:00Z,5,3.15708,0,2014-08-18
FCR,50,2014-08-18T12:00:00Z,9,5.55992,0,2014-08-18
FCR,50,2014-08-25T12:00:00Z,0.1,8.270453,0,2014-08-25
FCR,50,2014-08-25T12:00:00Z,5,5.315921,0,2014-08-25
FCR,50,2014-08-25T12:00:00Z,9,4.533839,0,2014-08-25
FCR,50,2014-09-03T12:00:00Z,0.1,7.52588,0,2014-09-03
FCR,50,2014-09-03T12:00:00Z,5,3.708308,0,2014-09-03
FCR,50,2014-09-03T12:00:00Z,9,3.664859,0,2014-09-03
FCR,50,2014-09-08T12:00:00Z,0.1,6.402146,0,2014-09-08
FCR,50,2014-09-08T12:00:00Z,5,3.795206,0,2014-09-08
FCR,50,2014-09-08T12:00:00Z,9,2.578634,0,2014-09-08
FCR,50,2014-09-15T12:00:00Z,0.1,3.882104,0,2014-09-15
FCR,50,2014-09-15T12:00:00Z,5,4.577288,0,2014-09-15
FCR,50,2014-09-15T12:00:00Z,9,4.620737,0,2014-09-15
FCR,50,2014-09-22T12:00:00Z,0.1,8.009759,0,2014-09-22
FCR,50,2014-09-22T12:00:00Z,5,5.315921,0,2014-09-22
FCR,50,2014-09-22T12:00:00Z,9,3.360716,0,2014-09-22
FCR,50,2014-09-29T12:00:00Z,0.1,6.271799,0,2014-09-29
FCR,50,2014-09-29T12:00:00Z,5,3.795206,0,2014-09-29
FCR,50,2014-09-29T12:00:00Z,9,4.446941,0,2014-09-29
FCR,50,2014-10-06T12:00:00Z,0.1,5.750411,0,2014-10-06
FCR,50,2014-10-06T12:00:00Z,5,4.837982,0,2014-10-06
FCR,50,2014-10-06T12:00:00Z,9,3.18692,0,2014-10-06
FCR,50,2014-10-15T12:00:00Z,0.1,5.533166,0,2014-10-15
FCR,50,2014-10-15T12:00:00Z,5,4.360043,0,2014-10-15
FCR,50,2014-10-15T12:00:00Z,9,3.664859,0,2014-10-15
FCR,50,2014-10-23T12:00:00Z,0.1,5.185574,0,2014-10-23
FCR,50,2014-10-23T12:00:00Z,5,5.750411,0,2014-10-23
FCR,50,2014-10-23T12:00:00Z,9,7.176376,0,2014-10-23
FCR,50,2014-11-10T12:00:00Z,0.1,5.446268,0,2014-11-10
FCR,50,2014-11-10T12:00:00Z,5,4.533839,0,2014-11-10
FCR,50,2014-11-10T12:00:00Z,9,5.822048,0,2014-11-10
GWR,50,2014-04-18T12:00:00Z,0.1,3.766266,0,2014-04-18
GWR,50,2014-04-18T12:00:00Z,5,4.83551,0,2014-04-18
GWR,50,2014-04-18T12:00:00Z,10,2.551216,0,2014-04-18
GWR,50,2014-04-26T16:00:00Z,0.1,3.474654,0,2014-04-26
GWR,50,2014-04-26T16:00:00Z,4,3.13444,0,2014-04-26
GWR,50,2014-04-26T16:00:00Z,10,3.13444,0,2014-04-26
GWR,50,2014-05-09T13:00:00Z,0.1,2.697022,0,2014-05-09
GWR,50,2014-05-09T13:00:00Z,5,2.988634,0,2014-05-09
GWR,50,2014-05-09T13:00:00Z,10,2.842828,0,2014-05-09
GWR,50,2014-05-16T16:00:00Z,0.1,2.502614,0,2014-05-16
GWR,50,2014-05-16T16:00:00Z,5,2.599818,0,2014-05-16
GWR,50,2014-05-16T16:00:00Z,10,3.231644,0,2014-05-16
GWR,50,2014-06-04T18:00:00Z,0.1,2.114258,0,2014-06-04
GWR,50,2014-06-04T18:00:00Z,5,2.765376,0,2014-06-04
GWR,50,2014-06-04T18:00:00Z,12,3.416494,0,2014-06-04
GWR,50,2014-06-16T13:30:00Z,0.1,1.46314,0,2014-06-16
GWR,50,2014-06-16T13:30:00Z,5,1.964,0,2014-06-16
GWR,50,2014-06-16T13:30:00Z,12,3.266236,0,2014-06-16
GWR,50,2014-06-29T14:15:00Z,0.1,1.513226,0,2014-06-29
GWR,50,2014-06-29T14:15:00Z,5,1.663484,0,2014-06-29
GWR,50,2014-06-29T14:15:00Z,12,3.666924,0,2014-06-29
GWR,50,2014-07-09T17:00:00Z,0.1,2.21443,0,2014-07-09
GWR,50,2014-07-09T17:00:00Z,5,2.46486,0,2014-07-09
GWR,50,2014-07-09T17:00:00Z,12,1.863828,0,2014-07-09
GWR,50,2014-07-25T18:00:00Z,0.1,2.865548,0,2014-07-25
GWR,50,2014-07-25T18:00:00Z,5,2.71529,0,2014-07-25
GWR,50,2014-07-25T18:00:00Z,12,2.21443,0,2014-07-25
GWR,50,2014-08-11T19:30:00Z,0.1,1.453248,0,2014-08-11
GWR,50,2014-08-11T19:30:00Z,5,2.239632,0,2014-08-11
GWR,50,2014-08-11T19:30:00Z,10,3.15708,0,2014-08-11
GWR,50,2014-08-22T16:30:00Z,0.1,1.579307,0,2014-08-22
GWR,50,2014-08-22T16:30:00Z,5,2.327008,0,2014-08-22
GWR,50,2014-08-22T16:30:00Z,12,3.331832,0,2014-08-22
GWR,50,2014-09-07T13:00:00Z,0.1,1.492409,0,2014-09-07
GWR,50,2014-09-07T13:00:00Z,5,3.15708,0,2014-09-07
GWR,50,2014-09-07T13:00:00Z,12,3.026016,0,2014-09-07
GWR,50,2014-09-30T09:30:00Z,0.1,2.195944,0,2014-09-30
GWR,50,2014-09-30T09:30:00Z,5,2.327008,0,2014-09-30
GWR,50,2014-09-30T09:30:00Z,12,3.244456,0,2014-09-30
SHR,50,2014-05-02T15:00:00Z,0.1,5.710346,0,2014-05-02
SHR,50,2014-05-02T15:00:00Z,5,6.05056,0,2014-05-02
SHR,50,2014-05-02T15:00:00Z,14,5.904754,0,2014-05-02
SHR,50,2014-05-08T14:30:00Z,0.1,5.07852,0,2014-05-08
SHR,50,2014-05-08T14:30:00Z,8,6.244968,0,2014-05-08
SHR,50,2014-05-08T14:30:00Z,14,5.758948,0,2014-05-08
SHR,50,2014-05-30T11:00:00Z,0.1,4.868988,0,2014-05-30
SHR,50,2014-05-30T11:00:00Z,8,5.953356,0,2014-05-30
SHR,50,2014-05-30T11:00:00Z,25,5.169504,0,2014-05-30
