miniWiper Concatenated Data File
Logger:             5958-292374
Concatenation Date: 2019Jun14 16:04:02 EDT
Wipe Type: 1 Scrub: 0 Angle: 45 (deg)
Timeout: 10 (second)  Threshold: 200 (mA)


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Wipes Completed,     Wipe Time,  Forward Start Current,  Average Current,  Reverse Start Current,  Final Current,  Source Resistance
                  (Second),                        (none),                        (none),        (Volt),       (deg C),           (none),      (second),                   (mA),             (mA),                   (mA),           (mA),              (Ohm)
                1544385600,           2018-12-09 20:00:00,           2018-12-09 15:00:00,      3.430000,     11.754000,              609,           6.1,                   90.8,             83.1,                   90.8,          229.4,                1.3
                1544392800,           2018-12-09 22:00:00,           2018-12-09 17:00:00,      3.430000,     11.493000,              610,           6.2,                   95.0,             88.0,                   95.0,          226.5,                1.3
                1544400000,           2018-12-10 00:00:00,           2018-12-09 19:00:00,      3.360000,     10.190000,              611,           6.1,                   94.9,             83.2,                   94.9,          236.0,                1.4
                1544407200,           2018-12-10 02:00:00,           2018-12-09 21:00:00,      3.420000,     11.493000,              612,           6.1,                   90.9,             82.7,                   90.9,          235.3,                1.3
                1544414400,           2018-12-10 04:00:00,           2018-12-09 23:00:00,      3.430000,     11.754000,              613,           6.2,                   93.7,             87.0,                   93.7,          229.3,                1.3
                1544421600,           2018-12-10 06:00:00,           2018-12-10 01:00:00,      3.430000,     12.014000,              614,           6.1,                   92.4,             83.3,                   92.4,          230.9,                1.3
                1544428800,           2018-12-10 08:00:00,           2018-12-10 03:00:00,      3.430000,     10.972000,              615,           6.2,                   95.0,             87.6,                   95.0,          217.1,                1.3
                1544436000,           2018-12-10 10:00:00,           2018-12-10 05:00:00,      3.430000,     11.493000,              616,           6.1,                   92.6,             83.9,                   92.6,          228.3,                1.3
                1544443200,           2018-12-10 12:00:00,           2018-12-10 07:00:00,      3.430000,     11.232000,              617,           6.2,                   95.4,             87.9,                   95.4,          211.2,                1.3
                1544450400,           2018-12-10 14:00:00,           2018-12-10 09:00:00,      3.360000,     10.711000,              618,           6.1,                   95.3,             84.7,                   95.3,          219.8,                1.4
                1544457600,           2018-12-10 16:00:00,           2018-12-10 11:00:00,      3.420000,     11.754000,              619,           6.1,                   92.7,             83.4,                   92.7,          229.4,                1.3
                1544464800,           2018-12-10 18:00:00,           2018-12-10 13:00:00,      3.430000,     11.232000,              620,           6.2,                   95.6,             88.3,                   95.6,          206.1,                1.3
                1544472000,           2018-12-10 20:00:00,           2018-12-10 15:00:00,      3.430000,     11.232000,              621,           6.1,                   92.0,             84.2,                   92.0,          221.6,                1.3
                1544479200,           2018-12-10 22:00:00,           2018-12-10 17:00:00,      3.430000,     11.493000,              622,           6.3,                   96.1,             88.8,                   96.1,          235.3,                1.3
                1544486400,           2018-12-11 00:00:00,           2018-12-10 19:00:00,      3.430000,     11.232000,              623,           6.1,                   93.6,             84.7,                   93.6,          208.0,                1.3
                1544493600,           2018-12-11 02:00:00,           2018-12-10 21:00:00,      3.430000,     11.493000,              624,           6.3,                   96.5,             89.2,                   96.5,          235.1,                1.3
                1544500800,           2018-12-11 04:00:00,           2018-12-10 23:00:00,      3.360000,      9.929000,              625,           6.2,                   95.7,             85.5,                   95.7,          236.2,                1.4
                1544508000,           2018-12-11 06:00:00,           2018-12-11 01:00:00,      3.420000,     12.014000,              626,           6.1,                   92.2,             84.4,                   92.2,          210.5,                1.3
                1544515200,           2018-12-11 08:00:00,           2018-12-11 03:00:00,      3.420000,     12.014000,              627,           6.3,                   96.1,             88.9,                   96.1,          231.0,                1.2
                1544522400,           2018-12-11 10:00:00,           2018-12-11 05:00:00,      3.430000,     11.493000,              628,           6.1,                   93.1,             84.7,                   93.1,          210.3,                1.3
                1544529600,           2018-12-11 12:00:00,           2018-12-11 07:00:00,      3.430000,     11.754000,              629,           6.3,                   96.6,             89.2,                   96.6,          229.4,                1.3
                1544536800,           2018-12-11 14:00:00,           2018-12-11 09:00:00,      3.430000,     10.450000,              630,           6.2,                   93.7,             86.0,                   93.7,          233.2,                1.3
                1544544000,           2018-12-11 16:00:00,           2018-12-11 11:00:00,      3.420000,     10.972000,              631,           6.3,                   98.1,             90.2,                   98.1,          218.9,                1.3
                1544551200,           2018-12-11 18:00:00,           2018-12-11 13:00:00,      3.360000,      9.668000,              632,           6.2,                   96.0,             86.6,                   96.0,          230.1,                1.4
                1544558400,           2018-12-11 20:00:00,           2018-12-11 15:00:00,      3.420000,     10.972000,              633,           6.1,                   94.1,             85.4,                   94.1,          201.1,                1.3
                1544565600,           2018-12-11 22:00:00,           2018-12-11 17:00:00,      3.420000,     11.232000,              634,           6.3,                   97.9,             89.8,                   97.9,          220.6,                1.3
                1544572800,           2018-12-12 00:00:00,           2018-12-11 19:00:00,      3.420000,     10.711000,              635,           6.2,                   93.7,             86.0,                   93.7,          236.3,                1.2
                1544580000,           2018-12-12 02:00:00,           2018-12-11 21:00:00,      3.420000,     11.232000,              636,           6.3,                   97.7,             90.0,                   97.7,          216.4,                1.3
                1544587200,           2018-12-12 04:00:00,           2018-12-11 23:00:00,      3.420000,     11.232000,              637,           6.2,                   93.9,             85.8,                   93.9,          235.9,                1.3
                1544594400,           2018-12-12 06:00:00,           2018-12-12 01:00:00,      3.420000,     10.711000,              638,           6.3,                   98.5,             90.8,                   98.5,          207.2,                1.3
                1544601600,           2018-12-12 08:00:00,           2018-12-12 03:00:00,      3.360000,     10.450000,              639,           6.2,                   96.8,             87.2,                   96.8,          222.3,                1.4
                1544608800,           2018-12-12 10:00:00,           2018-12-12 05:00:00,      3.420000,     10.972000,              640,           6.2,                   92.9,             86.1,                   92.9,          234.3,                1.2
                1544616000,           2018-12-12 12:00:00,           2018-12-12 07:00:00,      3.420000,     11.232000,              641,           6.4,                   99.5,             91.2,                   99.5,          235.3,                1.2
                1544623200,           2018-12-12 14:00:00,           2018-12-12 09:00:00,      3.420000,     11.232000,              642,           6.2,                   96.6,             87.1,                   96.6,          231.0,                1.3
                1544630400,           2018-12-12 16:00:00,           2018-12-12 11:00:00,      3.420000,     10.190000,              643,           6.4,                   99.7,             91.9,                   99.7,          225.7,                1.2
                1544637600,           2018-12-12 18:00:00,           2018-12-12 13:00:00,      3.420000,     10.711000,              644,           6.2,                   94.6,             88.9,                   94.6,          212.5,                1.3
                1544644800,           2018-12-12 20:00:00,           2018-12-12 15:00:00,      3.420000,     10.972000,              645,           6.4,                   99.9,             90.8,                   99.9,          230.4,                1.3
                1544652000,           2018-12-12 22:00:00,           2018-12-12 17:00:00,      3.360000,      9.668000,              646,           6.3,                  100.8,             87.4,                  100.8,          233.5,                1.4
