"Plot Title: hobo65"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2407063, SEN S/N: 2407063)","Bad Battery (LGR S/N: 2407063)","Coupler Attached (LGR S/N: 2407063)","Host Connected (LGR S/N: 2407063)","Coupler Detached (LGR S/N: 2407063)","Stopped (LGR S/N: 2407063)","End Of File (LGR S/N: 2407063)"
112,12/07/18 11:30:00 AM,4.415,,,,,,
113,12/07/18 11:40:00 AM,4.415,,,,,,
114,12/07/18 11:50:00 AM,4.415,,,,,,
115,12/07/18 12:00:00 PM,4.415,,,,,,
116,12/07/18 12:10:00 PM,4.415,,,,,,
117,12/07/18 12:20:00 PM,4.415,,,,,,
118,12/07/18 12:30:00 PM,4.415,,,,,,
119,12/07/18 12:40:00 PM,4.415,,,,,,
120,12/07/18 12:50:00 PM,4.415,,,,,,
121,12/07/18 01:00:00 PM,4.519,,,,,,
122,12/07/18 01:10:00 PM,4.519,,,,,,
123,12/07/18 01:20:00 PM,4.519,,,,,,
124,12/07/18 01:30:00 PM,4.519,,,,,,
125,12/07/18 01:40:00 PM,4.519,,,,,,
126,12/07/18 01:50:00 PM,4.519,,,,,,
127,12/07/18 02:00:00 PM,4.519,,,,,,
128,12/07/18 02:10:00 PM,4.519,,,,,,
129,12/07/18 02:20:00 PM,4.519,,,,,,
130,12/07/18 02:30:00 PM,4.519,,,,,,
131,12/07/18 02:40:00 PM,4.519,,,,,,
132,12/07/18 02:50:00 PM,4.519,,,,,,
133,12/07/18 03:00:00 PM,4.519,,,,,,
134,12/07/18 03:10:00 PM,4.519,,,,,,
135,12/07/18 03:20:00 PM,4.519,,,,,,
136,12/07/18 03:30:00 PM,4.519,,,,,,
137,12/07/18 03:40:00 PM,4.519,,,,,,
138,12/07/18 03:50:00 PM,4.519,,,,,,
139,12/07/18 04:00:00 PM,4.519,,,,,,
140,12/07/18 04:10:00 PM,4.519,,,,,,
141,12/07/18 04:20:00 PM,4.519,,,,,,
142,12/07/18 04:30:00 PM,4.519,,,,,,
143,12/07/18 04:40:00 PM,4.519,,,,,,
144,12/07/18 04:50:00 PM,4.519,,,,,,
145,12/07/18 05:00:00 PM,4.519,,,,,,
146,12/07/18 05:10:00 PM,4.519,,,,,,
147,12/07/18 05:20:00 PM,4.519,,,,,,
148,12/07/18 05:30:00 PM,4.519,,,,,,
149,12/07/18 05:40:00 PM,4.519,,,,,,
150,12/07/18 05:50:00 PM,4.519,,,,,,
151,12/07/18 06:00:00 PM,4.519,,,,,,
152,12/07/18 06:10:00 PM,4.519,,,,,,
153,12/07/18 06:20:00 PM,4.415,,,,,,
154,12/07/18 06:30:00 PM,4.519,,,,,,
155,12/07/18 06:40:00 PM,4.519,,,,,,
156,12/07/18 06:50:00 PM,4.519,,,,,,
157,12/07/18 07:00:00 PM,4.519,,,,,,
158,12/07/18 07:10:00 PM,4.519,,,,,,
159,12/07/18 07:20:00 PM,4.519,,,,,,
160,12/07/18 07:30:00 PM,4.519,,,,,,
161,12/07/18 07:40:00 PM,4.519,,,,,,
162,12/07/18 07:50:00 PM,4.415,,,,,,
163,12/07/18 08:00:00 PM,4.519,,,,,,
164,12/07/18 08:10:00 PM,4.519,,,,,,
165,12/07/18 08:20:00 PM,4.415,,,,,,
166,12/07/18 08:30:00 PM,4.415,,,,,,
167,12/07/18 08:40:00 PM,4.415,,,,,,
168,12/07/18 08:50:00 PM,4.415,,,,,,
169,12/07/18 09:00:00 PM,4.415,,,,,,
170,12/07/18 09:10:00 PM,4.415,,,,,,
171,12/07/18 09:20:00 PM,4.415,,,,,,
172,12/07/18 09:30:00 PM,4.415,,,,,,
173,12/07/18 09:40:00 PM,4.415,,,,,,
174,12/07/18 09:50:00 PM,4.415,,,,,,
175,12/07/18 10:00:00 PM,4.415,,,,,,
176,12/07/18 10:10:00 PM,4.415,,,,,,
177,12/07/18 10:20:00 PM,4.415,,,,,,
178,12/07/18 10:30:00 PM,4.415,,,,,,
179,12/07/18 10:40:00 PM,4.415,,,,,,
180,12/07/18 10:50:00 PM,4.415,,,,,,
181,12/07/18 11:00:00 PM,4.415,,,,,,
182,12/07/18 11:10:00 PM,4.415,,,,,,
183,12/07/18 11:20:00 PM,4.415,,,,,,
184,12/07/18 11:30:00 PM,4.415,,,,,,
185,12/07/18 11:40:00 PM,4.415,,,,,,
186,12/07/18 11:50:00 PM,4.415,,,,,,
187,12/08/18 12:00:00 AM,4.415,,,,,,
188,12/08/18 12:10:00 AM,4.415,,,,,,
189,12/08/18 12:20:00 AM,4.415,,,,,,
190,12/08/18 12:30:00 AM,4.415,,,,,,
191,12/08/18 12:40:00 AM,4.311,,,,,,
192,12/08/18 12:50:00 AM,4.311,,,,,,
193,12/08/18 01:00:00 AM,4.415,,,,,,
194,12/08/18 01:10:00 AM,4.311,,,,,,
195,12/08/18 01:20:00 AM,4.415,,,,,,
196,12/08/18 01:30:00 AM,4.311,,,,,,
197,12/08/18 01:40:00 AM,4.415,,,,,,
198,12/08/18 01:50:00 AM,4.311,,,,,,
199,12/08/18 02:00:00 AM,4.311,,,,,,
200,12/08/18 02:10:00 AM,4.311,,,,,,
201,12/08/18 02:20:00 AM,4.311,,,,,,
202,12/08/18 02:30:00 AM,4.311,,,,,,
203,12/08/18 02:40:00 AM,4.311,,,,,,
204,12/08/18 02:50:00 AM,4.311,,,,,,
205,12/08/18 03:00:00 AM,4.311,,,,,,
206,12/08/18 03:10:00 AM,4.311,,,,,,
207,12/08/18 03:20:00 AM,4.311,,,,,,
208,12/08/18 03:30:00 AM,4.311,,,,,,
209,12/08/18 03:40:00 AM,4.311,,,,,,
210,12/08/18 03:50:00 AM,4.311,,,,,,
211,12/08/18 04:00:00 AM,4.311,,,,,,
212,12/08/18 04:10:00 AM,4.311,,,,,,
213,12/08/18 04:20:00 AM,4.311,,,,,,
214,12/08/18 04:30:00 AM,4.207,,,,,,
215,12/08/18 04:40:00 AM,4.207,,,,,,
216,12/08/18 04:50:00 AM,4.311,,,,,,
217,12/08/18 05:00:00 AM,4.311,,,,,,
218,12/08/18 05:10:00 AM,4.311,,,,,,
219,12/08/18 05:20:00 AM,4.311,,,,,,
220,12/08/18 05:30:00 AM,4.311,,,,,,
221,12/08/18 05:40:00 AM,4.311,,,,,,
222,12/08/18 05:50:00 AM,4.207,,,,,,
223,12/08/18 06:00:00 AM,4.207,,,,,,
224,12/08/18 06:10:00 AM,4.311,,,,,,
225,12/08/18 06:20:00 AM,4.311,,,,,,
226,12/08/18 06:30:00 AM,4.311,,,,,,
227,12/08/18 06:40:00 AM,4.311,,,,,,
228,12/08/18 06:50:00 AM,4.311,,,,,,
229,12/08/18 07:00:00 AM,4.311,,,,,,
230,12/08/18 07:10:00 AM,4.311,,,,,,
231,12/08/18 07:20:00 AM,4.311,,,,,,
232,12/08/18 07:30:00 AM,4.311,,,,,,
233,12/08/18 07:40:00 AM,4.311,,,,,,
234,12/08/18 07:50:00 AM,4.311,,,,,,
235,12/08/18 08:00:00 AM,4.311,,,,,,
236,12/08/18 08:10:00 AM,4.311,,,,,,
237,12/08/18 08:20:00 AM,4.311,,,,,,
238,12/08/18 08:30:00 AM,4.311,,,,,,
239,12/08/18 08:40:00 AM,4.311,,,,,,
240,12/08/18 08:50:00 AM,4.311,,,,,,
241,12/08/18 09:00:00 AM,4.311,,,,,,
242,12/08/18 09:10:00 AM,4.311,,,,,,
243,12/08/18 09:20:00 AM,4.311,,,,,,
244,12/08/18 09:30:00 AM,4.311,,,,,,
245,12/08/18 09:40:00 AM,4.311,,,,,,
246,12/08/18 09:50:00 AM,4.311,,,,,,
247,12/08/18 10:00:00 AM,4.311,,,,,,
248,12/08/18 10:10:00 AM,4.311,,,,,,
249,12/08/18 10:20:00 AM,4.311,,,,,,
250,12/08/18 10:30:00 AM,4.311,,,,,,
251,12/08/18 10:40:00 AM,4.207,,,,,,
252,12/08/18 10:50:00 AM,4.207,,,,,,
253,12/08/18 11:00:00 AM,4.311,,,,,,
254,12/08/18 11:10:00 AM,4.207,,,,,,
255,12/08/18 11:20:00 AM,4.207,,,,,,
256,12/08/18 11:30:00 AM,4.207,,,,,,
257,12/08/18 11:40:00 AM,4.311,,,,,,
258,12/08/18 11:50:00 AM,4.311,,,,,,
259,12/08/18 12:00:00 PM,4.311,,,,,,
260,12/08/18 12:10:00 PM,4.311,,,,,,
261,12/08/18 12:20:00 PM,4.311,,,,,,
262,12/08/18 12:30:00 PM,4.311,,,,,,
263,12/08/18 12:40:00 PM,4.207,,,,,,
264,12/08/18 12:50:00 PM,4.311,,,,,,
265,12/08/18 01:00:00 PM,4.311,,,,,,
266,12/08/18 01:10:00 PM,4.311,,,,,,
267,12/08/18 01:20:00 PM,4.311,,,,,,
268,12/08/18 01:30:00 PM,4.311,,,,,,
269,12/08/18 01:40:00 PM,4.415,,,,,,
270,12/08/18 01:50:00 PM,4.311,,,,,,
271,12/08/18 02:00:00 PM,4.415,,,,,,
272,12/08/18 02:10:00 PM,4.415,,,,,,
273,12/08/18 02:20:00 PM,4.415,,,,,,
274,12/08/18 02:30:00 PM,4.415,,,,,,
275,12/08/18 02:40:00 PM,4.415,,,,,,
276,12/08/18 02:50:00 PM,4.415,,,,,,
277,12/08/18 03:00:00 PM,4.415,,,,,,
278,12/08/18 03:10:00 PM,4.415,,,,,,
279,12/08/18 03:20:00 PM,4.415,,,,,,
280,12/08/18 03:30:00 PM,4.415,,,,,,
281,12/08/18 03:40:00 PM,4.415,,,,,,
282,12/08/18 03:50:00 PM,4.415,,,,,,
283,12/08/18 04:00:00 PM,4.415,,,,,,
284,12/08/18 04:10:00 PM,4.415,,,,,,
285,12/08/18 04:20:00 PM,4.415,,,,,,
286,12/08/18 04:30:00 PM,4.415,,,,,,
287,12/08/18 04:40:00 PM,4.415,,,,,,
288,12/08/18 04:50:00 PM,4.415,,,,,,
289,12/08/18 05:00:00 PM,4.415,,,,,,
290,12/08/18 05:10:00 PM,4.415,,,,,,
291,12/08/18 05:20:00 PM,4.415,,,,,,
292,12/08/18 05:30:00 PM,4.415,,,,,,
293,12/08/18 05:40:00 PM,4.415,,,,,,
294,12/08/18 05:50:00 PM,4.415,,,,,,
295,12/08/18 06:00:00 PM,4.415,,,,,,
296,12/08/18 06:10:00 PM,4.415,,,,,,
297,12/08/18 06:20:00 PM,4.415,,,,,,
298,12/08/18 06:30:00 PM,4.415,,,,,,
299,12/08/18 06:40:00 PM,4.415,,,,,,
300,12/08/18 06:50:00 PM,4.415,,,,,,
301,12/08/18 07:00:00 PM,4.415,,,,,,
302,12/08/18 07:10:00 PM,4.415,,,,,,
303,12/08/18 07:20:00 PM,4.415,,,,,,
304,12/08/18 07:30:00 PM,4.415,,,,,,
305,12/08/18 07:40:00 PM,4.415,,,,,,
306,12/08/18 07:50:00 PM,4.415,,,,,,
307,12/08/18 08:00:00 PM,4.415,,,,,,
308,12/08/18 08:10:00 PM,4.415,,,,,,
309,12/08/18 08:20:00 PM,4.415,,,,,,
310,12/08/18 08:30:00 PM,4.415,,,,,,
311,12/08/18 08:40:00 PM,4.415,,,,,,
312,12/08/18 08:50:00 PM,4.415,,,,,,
313,12/08/18 09:00:00 PM,4.415,,,,,,
314,12/08/18 09:10:00 PM,4.415,,,,,,
315,12/08/18 09:20:00 PM,4.415,,,,,,
316,12/08/18 09:30:00 PM,4.415,,,,,,
317,12/08/18 09:40:00 PM,4.415,,,,,,
318,12/08/18 09:50:00 PM,4.415,,,,,,
319,12/08/18 10:00:00 PM,4.415,,,,,,
320,12/08/18 10:10:00 PM,4.415,,,,,,
321,12/08/18 10:20:00 PM,4.415,,,,,,
322,12/08/18 10:30:00 PM,4.415,,,,,,
323,12/08/18 10:40:00 PM,4.415,,,,,,
324,12/08/18 10:50:00 PM,4.415,,,,,,
325,12/08/18 11:00:00 PM,4.415,,,,,,
326,12/08/18 11:10:00 PM,4.415,,,,,,
327,12/08/18 11:20:00 PM,4.415,,,,,,
328,12/08/18 11:30:00 PM,4.415,,,,,,
329,12/08/18 11:40:00 PM,4.415,,,,,,
330,12/08/18 11:50:00 PM,4.415,,,,,,
331,12/09/18 12:00:00 AM,4.415,,,,,,
332,12/09/18 12:10:00 AM,4.415,,,,,,
333,12/09/18 12:20:00 AM,4.415,,,,,,
334,12/09/18 12:30:00 AM,4.415,,,,,,
335,12/09/18 12:40:00 AM,4.415,,,,,,
336,12/09/18 12:50:00 AM,4.415,,,,,,
337,12/09/18 01:00:00 AM,4.415,,,,,,
338,12/09/18 01:10:00 AM,4.415,,,,,,
339,12/09/18 01:20:00 AM,4.415,,,,,,
340,12/09/18 01:30:00 AM,4.415,,,,,,
341,12/09/18 01:40:00 AM,4.415,,,,,,
342,12/09/18 01:50:00 AM,4.415,,,,,,
343,12/09/18 02:00:00 AM,4.415,,,,,,
344,12/09/18 02:10:00 AM,4.415,,,,,,
345,12/09/18 02:20:00 AM,4.311,,,,,,
346,12/09/18 02:30:00 AM,4.311,,,,,,
347,12/09/18 02:40:00 AM,4.311,,,,,,
348,12/09/18 02:50:00 AM,4.311,,,,,,
349,12/09/18 03:00:00 AM,4.311,,,,,,
350,12/09/18 03:10:00 AM,4.311,,,,,,
351,12/09/18 03:20:00 AM,4.311,,,,,,
352,12/09/18 03:30:00 AM,4.311,,,,,,
353,12/09/18 03:40:00 AM,4.311,,,,,,
354,12/09/18 03:50:00 AM,4.311,,,,,,
355,12/09/18 04:00:00 AM,4.311,,,,,,
356,12/09/18 04:10:00 AM,4.311,,,,,,
357,12/09/18 04:20:00 AM,4.311,,,,,,
358,12/09/18 04:30:00 AM,4.311,,,,,,
359,12/09/18 04:40:00 AM,4.311,,,,,,
360,12/09/18 04:50:00 AM,4.311,,,,,,
361,12/09/18 05:00:00 AM,4.311,,,,,,
362,12/09/18 05:10:00 AM,4.311,,,,,,
363,12/09/18 05:20:00 AM,4.311,,,,,,
364,12/09/18 05:30:00 AM,4.311,,,,,,
365,12/09/18 05:40:00 AM,4.311,,,,,,
366,12/09/18 05:50:00 AM,4.311,,,,,,
367,12/09/18 06:00:00 AM,4.311,,,,,,
