Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-09-20T20:17:16Z,0.146,18.2099,2.2871,11.5406,37.259,32.199357,6.5393,68.224,15.475,145.6752,228.12,2.2876505610930216,-0,0
2020-09-20T20:17:16Z,0.146,18.2091,2.2641,11.1509,37.255,32.196859,6.4953,68.143,15.475,146.9595,241.12,2.2874337455028124,-0,0
2020-09-20T20:17:16Z,0.146,18.2077,2.2523,10.918,37.247,32.192134,6.4605,68.198,15.475,147.6435,245.67,2.28698913591081,-0,0
2020-09-20T20:17:16Z,0.146,18.2055,2.2489,10.8881,37.188,32.142234,6.4453,68.329,15.475,147.6635,223.71,2.2832648905473674,-0.001,0
2020-09-20T20:17:16Z,0.146,18.2056,2.2428,10.9271,37.141,32.101103,6.4294,68.472,15.475,147.545,207.5,2.280196952876339,-0.003,0
2020-09-20T20:17:16Z,0.146,18.2077,2.2451,11.0458,37.111,32.075501,6.4158,68.6,15.474,147.158,223.34,2.2781276894944984,-0.006,0
2020-09-20T20:17:16Z,0.146,18.2107,2.2489,11.122,37.048,32.02303,6.4262,68.705,15.474,146.3399,230.17,2.273860165401215,-0.009,0
2020-09-20T20:17:16Z,0.143,18.2123,2.2407,11.127,36.988,31.974249,6.4394,68.786,15.475,145.9138,200.67,2.2698653845402132,-0.012,0
2020-09-20T20:17:16Z,0.138,18.2105,2.2313,11.1403,36.936,31.92982,6.454,68.818,15.475,146.6518,201.37,2.2665769390308625,-0.014,0
2020-09-20T20:17:16Z,0.132,18.2106,2.221,11.2147,36.871,31.866517,6.4668,68.799,15.475,148.3794,254.5,2.262339109155727,-0.014,0
2020-09-20T20:17:16Z,0.127,18.2138,2.2021,11.3399,36.792,31.779863,6.4749,68.739,15.476,149.3359,292.99,2.257022816019594,-0.013,0
2020-09-20T20:17:16Z,0.124,18.219,2.184,11.3838,36.747,31.706868,6.4842,68.626,15.478,148.8392,300.25,2.2538129192592815,-0.012,0
2020-09-20T20:17:16Z,0.124,18.221,2.1741,11.3676,36.76,31.681788,6.4864,68.461,15.479,148.1379,292.87,2.2545509978625065,-0.012,0
2020-09-20T20:17:16Z,0.123,18.215,2.2066,11.3845,36.77,31.666917,6.4845,68.236,15.48,147.6538,247.76,2.255525944282454,-0.011,0
2020-09-20T20:17:16Z,0.119,18.1937,2.2709,11.3822,36.768,31.653918,6.4832,67.904,15.48,147.8044,179.33,2.256547066344134,-0.01,0
2020-09-20T20:17:16Z,0.114,18.1392,2.3038,11.3402,36.77,31.651501,6.4793,67.5,15.48,148.6677,147.15,2.2596277342504525,-0.01,0
2020-09-20T20:17:16Z,0.11,18.0792,2.3082,11.3224,36.757,31.637688,6.4707,67.097,15.479,149.5744,144.97,2.2620343378414924,-0.009,0
2020-09-20T20:17:16Z,0.108,18.0501,2.324,11.4758,36.807,31.677235,6.4576,66.697,15.479,150.3349,146.78,2.2668831507447473,-0.007,0
2020-09-20T20:17:16Z,0.108,18.0382,2.3611,11.7536,36.968,31.812426,6.4255,66.342,15.48,151.238,151.26,2.2780583196581388,-0.004,0
2020-09-20T20:17:16Z,0.108,18.0356,2.3848,11.8652,37.103,31.939918,6.383,66.207,15.48,152.4069,151.64,2.2870309537256146,-0.002,0
2020-09-20T20:17:16Z,0.108,18.0332,2.3814,11.7955,37.142,32.013275,6.3476,66.618,15.479,153.4548,153.88,2.289714413587677,-0,0
2020-09-20T20:17:16Z,0.108,18.03,2.3776,11.7001,37.136,32.064961,6.3093,67.914,15.477,153.9267,161.63,2.289497864582235,0.001,0
