Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-09-14T19:20:40Z,0.004,23.2739,6.4252,14.2764,36.577,35.345119,5.5727,98.649,15.1,185.5229,118.68,1.996362091701778,0.095,0
2020-09-14T19:20:40Z,0.031,23.2784,6.4287,13.9744,36.521,35.299262,5.6261,100.465,15.1,185.8642,109.38,1.9929228908236143,0.095,0
2020-09-14T19:20:40Z,0.051,23.2859,6.4417,13.5079,36.501,35.287652,5.6856,102.187,15.099,185.7479,105,1.9914350779612753,0.098,0
2020-09-14T19:20:40Z,0.069,23.3002,6.4591,13.305,36.54,35.331669,5.7729,103.828,15.099,185.7516,101.21,1.9930598547207492,0.101,0
2020-09-14T19:20:40Z,0.099,23.3102,6.4671,13.3417,36.528,35.323824,5.8865,105.323,15.099,185.8236,91.677,1.9919246542622548,0.102,0
2020-09-14T19:20:40Z,0.133,23.3196,6.4241,13.1963,36.52,35.319724,5.996,106.499,15.099,185.9299,82.891,1.9910473270473918,0.102,0
2020-09-14T19:20:40Z,0.159,23.3326,6.3305,12.8861,36.544,35.345549,6.0953,107.234,15.099,186.4352,76.647,1.9918612951921313,0.103,0
2020-09-14T19:20:40Z,0.184,23.3436,6.2797,12.7493,36.514,35.318803,6.193,107.489,15.099,186.7705,70.792,1.9896435136719837,0.104,0
2020-09-14T19:20:40Z,0.207,23.3455,6.2672,12.7775,36.506,35.313617,6.2871,107.309,15.099,186.7144,67.104,1.9890972990417546,0.101,0
2020-09-14T19:20:40Z,0.227,23.3505,6.2277,12.7807,36.538,35.34631,6.3588,106.863,15.1,186.8759,62.761,1.9907253632019926,0.099,0
2020-09-14T19:20:40Z,0.255,23.3562,6.1742,12.72,36.524,35.333357,6.4026,106.312,15.1,187.2595,56.284,1.9896654521287176,0.1,0
2020-09-14T19:20:40Z,0.287,23.3561,6.144,12.6616,36.473,35.283915,6.4177,105.747,15.1,187.4805,52.133,1.9867240049594164,0.103,0
2020-09-14T19:20:40Z,0.31,23.3623,6.1393,12.6577,36.444,35.25615,6.4018,105.383,15.1,187.6559,49.826,1.9847772446134848,0.102,0
2020-09-14T19:20:40Z,0.332,23.3662,6.1373,12.7763,36.44,35.251477,6.37,105.44,15.1,188.1748,45.834,1.984375010702057,0.098,0
2020-09-14T19:20:40Z,0.365,23.3626,6.1381,12.9967,36.415,35.227408,6.3385,105.865,15.101,188.7645,41.619,1.9830887828333779,0.092,0
2020-09-14T19:20:40Z,0.393,23.3634,6.1494,13.0911,36.403,35.218958,6.2993,106.406,15.101,188.8499,39.799,1.982360337458849,0.087,0
2020-09-14T19:20:40Z,0.407,23.3668,6.1497,13.0594,36.459,35.276223,6.2698,106.824,15.1,188.8621,38.636,1.9854437889008762,0.085,0
2020-09-14T19:20:40Z,0.422,23.363,6.1416,13.0934,36.468,35.285242,6.2763,106.984,15.1,189.1711,36.425,1.9861298421169182,0.086,0
2020-09-14T19:20:40Z,0.444,23.3608,6.2225,13.2625,36.382,35.201097,6.3082,106.867,15.1,189.4017,34.36,1.98126106803347,0.09,0
2020-09-14T19:20:40Z,0.464,23.3672,6.3942,13.4564,36.328,35.147203,6.3448,106.49,15.1,189.5855,32.852,1.9778640014813444,0.094,0
2020-09-14T19:20:40Z,0.486,23.3744,6.5004,13.514,36.324,35.141251,6.3719,105.858,15.1,190.0168,30.266,1.9773183152376395,0.095,0
2020-09-14T19:20:40Z,0.523,23.3728,6.5056,13.4791,36.314,35.129127,6.3817,105.064,15.101,190.315,27.015,1.9768102669931629,0.09,0
2020-09-14T19:20:40Z,0.56,23.3706,6.4569,13.2746,36.311,35.127522,6.3734,104.259,15.102,190.3512,25.325,1.9767322543855683,0.08,0
2020-09-14T19:20:40Z,0.577,23.3717,6.389,12.8951,36.303,35.121852,6.3526,103.542,15.102,190.5414,24.982,1.9762223653334632,0.071,0
2020-09-14T19:20:40Z,0.582,23.3651,6.3518,12.6675,36.24,35.060566,6.313,102.945,15.102,190.6352,24.768,1.9728751722003242,0.065,0
2020-09-14T19:20:40Z,0.586,23.3605,6.3499,12.6168,36.2,35.021068,6.2623,102.489,15.101,190.7115,24.392,1.9707674360588567,0.059,0
2020-09-14T19:20:40Z,0.596,23.3656,6.3953,12.5906,36.209,35.025023,6.2121,102.272,15.101,191.1196,23.314,1.9710645008935814,0.055,0
2020-09-14T19:20:40Z,0.619,23.3692,6.4809,12.5913,36.168,34.981468,6.1681,102.392,15.101,191.2671,21.542,1.9685418902293537,0.054,0
2020-09-14T19:20:40Z,0.646,23.3689,6.5359,12.6256,36.124,34.938621,6.1333,102.773,15.1,191.1183,20.381,1.9660159897913787,0.053,0
2020-09-14T19:20:40Z,0.662,23.3683,6.5549,12.6272,36.134,34.951145,6.1036,103.213,15.1,191.2998,20.076,1.9666186110340136,0.051,0
2020-09-14T19:20:40Z,0.668,23.3603,6.5481,12.577,36.123,34.942527,6.0879,103.544,15.101,191.4824,19.931,1.9663316510655826,0.047,0
2020-09-14T19:20:40Z,0.671,23.3509,6.5019,12.5342,36.075,34.897886,6.0982,103.655,15.101,191.4329,19.687,1.9639703965841384,0.042,0
2020-09-14T19:20:40Z,0.677,23.3521,6.463,12.5552,36.03,34.85557,6.1265,103.511,15.1,191.5629,19.164,1.9613218874019254,0.04,0
2020-09-14T19:20:40Z,0.689,23.3581,6.4599,12.6255,35.985,34.811618,6.1548,103.142,15.1,191.7629,18.449,1.9584657836234112,0.042,0
2020-09-14T19:20:40Z,0.704,23.3595,6.4731,12.6287,35.984,34.810646,6.1772,102.597,15.101,191.872,17.794,1.9583471807959607,0.046,0
2020-09-14T19:20:40Z,0.719,23.3622,6.547,12.6971,36.019,34.843816,6.1841,101.926,15.101,191.9364,17.145,1.960248750871718,0.048,0
2020-09-14T19:20:40Z,0.733,23.3653,6.6863,12.9028,36.009,34.831949,6.1739,101.116,15.101,191.5082,16.535,1.9595374122883962,0.046,0
2020-09-14T19:20:40Z,0.745,23.3633,6.7735,12.9874,35.972,34.794066,6.1519,100.167,15.102,190.9108,16.12,1.9574898102674108,0.043,0
2020-09-14T19:20:40Z,0.753,23.3636,6.8004,12.9987,35.944,34.766499,6.1167,99.121,15.102,190.9934,15.821,1.9558619208701964,0.041,0
2020-09-14T19:20:40Z,0.761,23.3635,6.8309,13.1085,35.929,34.752444,6.0786,98.006,15.102,191.3885,15.524,1.9550010805703277,0.04,0
2020-09-14T19:20:40Z,0.77,23.3592,6.8564,13.2505,35.928,34.751035,6.0306,96.84,15.102,191.5589,15.147,1.9551290209146361,0.039,0
2020-09-14T19:20:40Z,0.781,23.3558,6.8702,13.3412,35.928,34.74946,5.973,95.614,15.102,191.4179,14.666,1.9552757045004352,0.039,0
