Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-09-15T21:24:50Z,5.922,13.1482,4.1407,3.5065,50.444,38.425199,0.068,0.871,15.498,108.1947,0.12971,3.5834923055821015,0.078,0
2020-09-15T21:24:50Z,5.94,13.1158,4.1373,3.5541,50.812,38.680527,0.0649,0.849,15.499,107.114,0.13025,3.6144395939859257,0.079,0
2020-09-15T21:24:50Z,5.956,13.0978,4.1702,3.6371000000000002,51.177,38.91844,0.064,0.838,15.5,106.4584,0.12861,3.6438575026936166,0.08,0
2020-09-15T21:24:50Z,5.977,13.0939,4.214,3.7213,51.451,39.080339,0.0659,0.833,15.5,105.6883,0.12576,3.665049676382881,0.08,0
2020-09-15T21:24:50Z,6.002,13.0901,4.228,3.7481,51.632,39.178186,0.0644,0.831,15.5,104.7716,0.12396,3.679172953217097,0.08,0
2020-09-15T21:24:50Z,6.026,13.0673,4.2351,3.7203,51.717,39.212884,0.0617,0.824,15.502,103.8916,0.12386,3.6878296715005883,0.079,0
2020-09-15T21:24:50Z,6.045,13.0221,4.2904,3.6254,51.71,39.182491,0.062,0.806,15.504,103.051,0.12481,3.6916519396842937,0.077,0
2020-09-15T21:24:50Z,6.061,12.9714,4.3818,3.4931,51.669,39.128019,0.0612,0.794,15.504,102.1794,0.12566,3.69341934352087,0.075,0
2020-09-15T21:24:50Z,6.078,12.9328,4.4339,3.4599,51.607,39.061999,0.0615,0.799,15.504,101.4399,0.12475,3.6924157445778736,0.074,0
2020-09-15T21:24:50Z,6.095,12.9073,4.4528,3.4992,51.486,38.955461,0.0614,0.816,15.505,100.7355,0.12377,3.6856363183020684,0.075,0
2020-09-15T21:24:50Z,6.114,12.8841,4.4576,3.5218,51.381,38.855369,0.0594,0.836,15.506,99.8572,0.12368,3.6798500411811044,0.077,0
2020-09-15T21:24:50Z,6.136,12.8598,4.397,3.5616,51.267,38.740342,0.058,0.848,15.506,99.0801,0.12367,3.6734749765013324,0.081,0
2020-09-15T21:24:50Z,6.159,12.8397,4.3011,3.6368,51.099,38.580152,0.0589,0.845,15.507,98.4808,0.12367,3.662559210805235,0.084,0
2020-09-15T21:24:50Z,6.179,12.8297,4.2618,3.7098,51.049,38.505184,0.0602,0.834,15.509,97.8606,0.12368,3.659693580418512,0.085,0
2020-09-15T21:24:50Z,6.201,12.8135,4.2654,3.7576,51.214,38.595484,0.0621,0.829,15.51,97.3456,0.12366,3.6738750761677577,0.085,0
2020-09-15T21:24:50Z,6.225,12.7804,4.2872,3.8378,51.499,38.783375,0.0634,0.829,15.511,97.0725,0.12368,3.6989033017893393,0.083,0
2020-09-15T21:24:50Z,6.247,12.7497,4.3344,3.9586,51.827,38.999813,0.0627,0.811,15.512,96.709,0.12375,3.727049538748365,0.08,0
2020-09-15T21:24:50Z,6.267,12.7102,4.3698,3.9814,52.119,39.181364,0.0617,0.774,15.513,96.134,0.12379,3.7533546229534935,0.076,0
2020-09-15T21:24:50Z,6.286,12.6724,4.3899,3.9758,52.192,39.201304,0.0611,0.764,15.513,95.6267,0.12377,3.762700162704704,0.072,0
2020-09-15T21:24:50Z,6.303,12.655,4.5204,4.3372,52.106,39.113926,0.0622,0.795,15.514,95.0488,0.12373,3.7578006283239005,0.068,0
2020-09-15T21:24:50Z,6.318,12.6256,4.7549,4.9872,52.148,39.140372,0.0613,0.82,15.514,94.2234,0.12376,3.763941777485557,0.066,0
2020-09-15T21:24:50Z,6.334,12.5841,4.88,5.3111,52.482,39.394116,0.0566,0.822,15.514,93.3052,0.12381,3.7938188317106962,0.065,0
2020-09-15T21:24:50Z,6.351,12.5473,4.8889,5.3008,53.077,39.83351,0.055,0.819,15.514,92.5499,0.12383,3.8434731449751656,0.066,0
2020-09-15T21:24:50Z,6.368,12.5227,4.9099,5.2752,53.688,40.263922,0.0601,0.82,15.515,91.9743,0.12382,3.8932524866067744,0.07,0
2020-09-15T21:24:50Z,6.383,12.5213,4.9521,5.2422,54.108,40.535914,0.062,0.83,15.515,91.3353,0.12382,3.925928050931087,0.074,0
2020-09-15T21:24:50Z,6.401,12.5312,4.9701,5.1764,54.477,40.773565,0.0609,0.831,15.516,90.6743,0.12382,3.9534950685859167,0.076,0
2020-09-15T21:24:50Z,6.424,12.5301,4.9563,5.1314,55.123,41.23305,0.0611,0.811,15.517,90.1779,0.12382,4.003703391931614,0.077,0
2020-09-15T21:24:50Z,6.447,12.5007,4.8806,5.0412,56.041,41.902048,0.0605,0.787,15.518,89.7212,0.12382,4.078132293191621,0.077,0
2020-09-15T21:24:50Z,6.467,12.4522,4.7597,4.8755,56.804,42.45109,0.0623,0.779,15.519,89.2823,0.12381,4.1427854302195515,0.076,0
2020-09-15T21:24:50Z,6.485,12.4135,4.7065,4.7759,57.044,42.602686,0.0629,0.78,15.52,89.0021,0.12375,4.165746929330963,0.071,0
2020-09-15T21:24:50Z,6.503,12.3967,4.7047,4.695,56.812,42.401867,0.0605,0.77,15.52,88.6565,0.12369,4.1494832693663595,0.063,0
2020-09-15T21:24:50Z,6.52,12.3839,4.6993,4.619,56.455,42.117822,0.0583,0.766,15.52,87.9426,0.1237,4.123018391748649,0.054,0
2020-09-15T21:24:50Z,6.535,12.3654,4.6802,4.5776,56.587,42.215335,0.0576,0.769,15.519,87.0815,0.12369,4.135340964909444,0.048,0
2020-09-15T21:24:50Z,6.545,12.3403,4.6448,4.5041,57.392,42.819082,0.0596,0.765,15.519,86.5043,0.12366,4.201028606759776,0.045,0
2020-09-15T21:24:50Z,6.551,12.3106,4.6333,4.4511,58.163,43.387003,0.057,0.766,15.52,86.0393,0.12369,4.264731120753805,0.045,0
2020-09-15T21:24:50Z,6.557,12.2929,4.6465,4.4516,58.843,43.876523,0.057,0.773,15.521,85.4174,0.12374,4.320081723184635,0.048,0
2020-09-15T21:24:50Z,6.568,12.2961,4.7377,4.4761,59.775,44.547816,0.0583,0.772,15.521,84.8361,0.12378,4.3929173332916065,0.054,0
2020-09-15T21:24:50Z,6.587,12.3064,4.9057,4.4731,60.884,45.345374,0.0567,0.762,15.522,84.345,0.1238,4.478923593082749,0.06,0
2020-09-15T21:24:50Z,6.607,12.298400000000001,4.9997,4.4491,62.531,46.535993,0.0571,0.758,15.523,83.7823,0.12381,4.609654468621203,0.066,0
2020-09-15T21:24:50Z,6.625,12.2804,5.0071,4.4611,64.151,47.705212,0.0581,0.768,15.524,83.109,0.1238,4.7398502834404805,0.071,0
