Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,4.072,11.8546,2.5649,4.7913,50.332,37.078345,0.0751,0.922,6.609,201.5825,0.12369,3.6990859087960164,0.018,999.5549,0
2020-06-18T07:01:02Z,4.076,11.8546,2.1531,4.5511,50.372,37.096904,0.0716,0.907,6.608,200.343,0.12378,3.702222300969356,0.017,999.5548,0
2020-06-18T07:01:02Z,4.08,11.8491,1.9265,4.4496,50.393,37.106938,0.0708,0.896,6.607,199.0621,0.12375,3.70441165218407,0.015,999.5555,0
2020-06-18T07:01:02Z,4.085,11.8426,1.9128,4.4558,50.522,37.199649,0.0718,0.914,6.606,197.3666,0.12372,3.715173138081685,0.015,999.5564,0
2020-06-18T07:01:02Z,4.088,11.8328,1.9397,4.4212,50.796,37.392824,0.0691,0.946,6.606,195.5011,0.12376,3.7376515998192676,0.016,999.5575,0
2020-06-18T07:01:02Z,4.09,11.8177,1.9659,4.3744,51.016,37.538667,0.0695,0.956,6.605,194.0596,0.12375,3.7564394967108563,0.017,999.5592,0
2020-06-18T07:01:02Z,4.093,11.812,1.9724,4.3708,51.165,37.630255,0.066,0.949,6.603,192.8429,0.12371,3.768721004334663,0.019,999.5598,0
2020-06-18T07:01:02Z,4.099,11.8152,1.97,4.4112,51.33,37.738603,0.0691,0.97,6.601,191.5447,0.12369,3.781369326935769,0.021,999.5595,0
2020-06-18T07:01:02Z,4.107,11.8086,1.9181,4.4857,51.382,37.769765,0.0721,0.98,6.599,190.495,0.12369,3.786123336262451,0.024,999.5604,0
2020-06-18T07:01:02Z,4.113,11.7874,1.8031,4.5844,51.274,37.689698,0.0739,0.945,6.599,189.7015,0.12372,3.779767438843426,0.026,999.563,0
2020-06-18T07:01:02Z,4.119,11.7676,1.7234,4.6435,51.138,37.595574,0.0699,0.928,6.599,189.092,0.12373,3.771060859660513,0.026,999.5652,0
2020-06-18T07:01:02Z,4.127,11.7568,1.7177,4.6518,51.11,37.583706,0.0735,0.926,6.598,188.6316,0.12372,3.7699433829088322,0.026,999.5664,0
2020-06-18T07:01:02Z,4.134,11.7484,1.7341,4.5463,51.22,37.673148,0.0778,0.946,6.595,188.0928,0.12375,3.7794495322943367,0.025,999.5674,0
